Country,population,net_migration,mg_per_1000
Maldives,521021.0,-8652.0,-16.6058565777579
Mali,23293698.0,-39998.0,-1.7171167927050484
Malta,553214.0,850.0,1.5364759387867986
Marshall Islands,41996.0,0.0,0.0
Mauritania,4862989.0,3000.0,0.616904541630672
Mauritius,1261041.0,0.0,0.0
Mexico,128455567.0,-50239.0,-0.39110021599920225
"Micronesia, Fed. Sts.",115224.0,-600.0,-5.207248489897938
Moldova,2486891.0,-125204.0,-50.345592146981915
Monaco,36297.0,200.0,5.510097253216519
Mongolia,3447157.0,-850.0,-0.24658000781513578
Montenegro,616177.0,-480.0,-0.7789969440599048
Morocco,37840044.0,-39998.0,-1.0570283692059133
Mozambique,33897354.0,-5000.0,-0.14750413852361455
Myanmar,54577997.0,-34998.0,-0.6412474243054395
Namibia,2604172.0,-3916.0,-1.5037409203385952
Nauru,12780.0,-140.0,-10.954616588419405
Nepal,30896590.0,-62012.0,-2.007082334976125
Netherlands,17879488.0,29998.0,1.6777885362265408
New Caledonia,267940.0,500.0,1.8660894230051503
New Zealand,5223100.0,12999.0,2.4887518906396586
Nicaragua,7046310.0,-8000.0,-1.1353460179867192
Niger,27202843.0,1000.0,0.03676086356120939
Nigeria,223804632.0,-59996.0,-0.26807309332185764
North Macedonia,1811980.0,-1000.0,-0.5518824711089526
Northern Mariana Islands,49796.0,-50.0,-1.00409671459555
Norway,5519594.0,27998.0,5.072474533453004
Oman,4644384.0,0.0,0.0
Pakistan,240485658.0,-165988.0,-0.6902199548215886
Palau,18058.0,-20.0,-1.1075423634954038
Panama,4468087.0,7262.0,1.6253040730854167
Papua New Guinea,10329931.0,-800.0,-0.07744485418150421
Paraguay,6861524.0,-12499.0,-1.8216069782747972
Peru,34352719.0,-61442.0,-1.7885629373325587
Philippines,117337368.0,-69996.0,-0.596536305467496
Poland,36685849.0,-910475.0,-24.818152634275958
Portugal,10525347.0,9999.0,0.94999243255353
Puerto Rico,3205691.0,19835.0,6.187433536170516
Qatar,2716391.0,0.0,0.0
Romania,19056116.0,-254616.0,-13.361379622164348
Russian Federation,143826130.0,-136414.0,-0.948464649643288
Rwanda,14094683.0,-8999.0,-0.6384677115476808
Samoa,225681.0,-1500.0,-6.646549776011272
San Marino,33642.0,100.0,2.972474882587242
Sao Tome and Principe,231856.0,-600.0,-2.587813125388172
Saudi Arabia,36947025.0,28998.0,0.7848534489583396
Senegal,17763163.0,-19999.0,-1.1258693060464513
Serbia,6618026.0,-9999.0,-1.510873484026808
Seychelles,119773.0,-200.0,-1.669825419752365
Sierra Leone,8791092.0,-4000.0,-0.4550060447553046
Singapore,5917648.0,26998.0,4.562285556694146
Sint Maarten (Dutch part),41163.0,0.0,0.0
Slovak Republic,5426740.0,-112067.0,-20.650888010112887
Slovenia,2120937.0,2000.0,0.9429794472914566
Solomon Islands,740424.0,-1600.0,-2.1609240111071495
Somalia,18143378.0,-30000.0,-1.6534958374344624
South Africa,60414495.0,58496.0,0.9682444585525377
South Sudan,11088796.0,-23291.0,-2.1004083761663574
Spain,48373336.0,39998.0,0.826860483635034
Sri Lanka,22037000.0,-77495.0,-3.516585742160911
St. Kitts and Nevis,47755.0,20.0,0.41880431368443094
St. Lucia,180251.0,0.0,0.0
St. Martin (French part),32077.0,0.0,0.0
St. Vincent and the Grenadines,103698.0,-200.0,-1.9286775058342494
Sudan,48109006.0,-9999.0,-0.20784050287798506
Suriname,623236.0,-1000.0,-1.6045286215815517
Sweden,10536632.0,39998.0,3.7960896802697484
Switzerland,8849852.0,39998.0,4.51962360500492
Syria,23227014.0,757103.0,32.59579556803987
Tajikistan,10143543.0,-19999.0,-1.971599075392099
Tanzania,67438106.0,-39997.0,-0.5930919827434062
Thailand,71801279.0,18999.0,0.26460531434265955
Timor-Leste,1360596.0,-5000.0,-3.674860134823269
Togo,9053799.0,-2000.0,-0.22090174522319306
Tonga,107773.0,-800.0,-7.42300947361584
Trinidad and Tobago,1534937.0,-800.0,-0.5211940294617955
Tunisia,12458223.0,-4000.0,-0.32107307759702164
Turkey,85326000.0,-318067.0,-3.7276680027189837
Turkmenistan,6516100.0,-4000.0,-0.6138641211767775
Turks and Caicos Islands,46062.0,200.0,4.341973861317355
Tuvalu,11396.0,-60.0,-5.265005265005265
Uganda,48582334.0,-126181.0,-2.5972609714469463
Ukraine,37000000.0,1784718.0,48.23562162162162
United Arab Emirates,9516871.0,0.0,0.0
United Kingdom,68350000.0,165790.0,2.425603511338698
United States,334914895.0,999700.0,2.9849374122342334
Uruguay,3423108.0,-1500.0,-0.4381982689415584
Uzbekistan,36412350.0,-19999.0,-0.5492367287472519
Vanuatu,334506.0,0.0,0.0
"Venezuela, RB",28838499.0,321106.0,11.13462944101217
Viet Nam,98858950.0,-82700.0,-0.8365454013015513
Virgin Islands (U.S.),104917.0,-450.0,-4.2891047208745965
Palestine,5165775.0,-5000.0,-0.967908977839724
"Yemen, Rep.",34449825.0,-29914.0,-0.868335325360869
Zambia,20569737.0,-5000.0,-0.2430755434549309
Zimbabwe,16665409.0,-9999.0,-0.5999852748888431
